bytes,time (ns)
766000,160452
767000,166406
768000,159352
769000,161607
770000,174135
771000,164747
772000,160784
773000,162365
774000,163423
775000,166230
776000,166234
777000,160854
778000,166369
779000,161337
780000,164404
781000,165540
782000,162781
783000,176621
784000,161182
785000,161803
786000,161604
787000,162630
788000,162782
789000,163947
790000,166392
791000,163089
792000,165056
793000,168243
794000,165666
795000,164095
796000,164294
797000,169435
798000,167062
799000,165899
800000,163999
801000,167417
802000,168467
803000,166695
804000,166365
805000,167887
806000,165890
807000,167956
808000,168572
809000,167745
810000,169189
811000,164018
812000,165555
813000,165946
814000,169756
815000,166403
816000,169623
817000,170000
818000,167981
819000,166388
820000,169113
821000,168140
822000,168707
823000,172399
824000,171734
825000,171234
826000,169814
827000,168693
828000,170526
829000,171430
830000,171377
831000,168271
832000,168369
833000,172244
834000,171806
835000,171384
836000,169290
837000,172556
838000,177410
839000,188853
840000,188137
841000,169486
842000,164107
843000,167856
844000,168339
845000,169494
846000,169341
847000,167816
848000,166269
849000,172133
850000,173330
851000,168445
852000,172455
853000,173578
854000,172460
855000,168473
856000,169685
857000,175701
858000,172823
859000,174576
860000,178435
861000,174946
862000,175139
863000,173320
864000,175899
865000,175457
866000,175073
867000,174610
868000,174770
869000,176813
870000,176218
871000,174463
872000,175907
873000,175034
874000,177139
875000,176259
876000,175897
877000,175552
878000,176535
879000,177570
880000,180582
881000,176693
882000,180132
883000,175853
884000,175839
885000,176813
886000,178922
887000,177114
888000,178854
889000,182983
890000,179432
891000,180352
892000,179189
893000,178993
894000,182459
895000,178757
896000,190847
897000,174162
898000,173712
899000,175281
900000,177928
901000,178165
902000,178110
903000,181702
904000,177862
905000,178931
906000,174770
907000,177439
908000,176205
909000,178972
910000,175381
911000,176979
912000,179036
913000,178284
914000,183352
915000,182924
916000,180732
917000,182979
918000,184275
919000,181823
920000,181285
921000,180993
922000,184914
923000,181493
924000,181891
925000,187045
926000,182918
927000,181721
928000,184546
929000,185955
930000,185681
931000,188143
932000,184424
933000,186979
934000,186192
935000,182911
936000,187294
937000,186148
938000,184018
939000,184446
940000,186586
941000,187900
942000,186757
943000,188168
944000,185303
945000,187974
946000,191599
947000,185012
948000,186373
949000,188030
950000,187997
951000,188180
952000,189561
953000,197053
954000,192118
955000,187130
956000,184891
957000,189286
958000,186498
959000,186140
960000,190854
961000,186371
962000,191286
963000,189076
964000,189972
965000,192930
966000,197010
967000,194126
968000,191118
969000,190825
970000,190690
971000,194601
972000,195192
973000,193526
974000,191745
975000,193188
976000,189431
977000,191387
978000,192990
979000,195169
980000,196251
981000,196357
982000,195840
983000,195531
984000,198778
985000,203761
986000,196720
987000,200464
988000,197405
989000,197486
990000,200572
991000,197583
992000,197392
993000,200327
994000,196891
995000,197604
996000,202614
997000,201661
998000,197841
999000,202275
1000000,200706
