bytes,startTime,endTime,time (s)
102000,6111.3,6111.3,0.000059259
103000,6111.3,6111.3,0.00004368
104000,6111.3,6111.3,0.000059487
105000,6111.3,6111.3,0.000060135
106000,6111.3,6111.3,0.000057551
107000,6111.3,6111.3,0.000058177
108000,6111.31,6111.31,0.0000587
109000,6111.31,6111.31,0.000058964
110000,6111.31,6111.31,0.000047192
111000,6111.31,6111.31,0.000056474
112000,6111.31,6111.31,0.000044903
113000,6111.31,6111.31,0.000058531
114000,6111.31,6111.31,0.000057102
115000,6111.31,6111.31,0.000059544
116000,6111.31,6111.31,0.000058434
117000,6111.31,6111.31,0.000058162
118000,6111.31,6111.31,0.000058905
119000,6111.31,6111.31,0.000058672
120000,6111.31,6111.31,0.000059741
121000,6111.31,6111.31,0.000063179
122000,6111.31,6111.31,0.000060082
123000,6111.31,6111.31,0.000059859
124000,6111.31,6111.31,0.000062505
125000,6111.31,6111.31,0.000061887
126000,6111.31,6111.31,0.000058436
127000,6111.31,6111.31,0.00006155
128000,6111.31,6111.31,0.000062383
129000,6111.31,6111.31,0.000061808
130000,6111.31,6111.31,0.000061303
131000,6111.31,6111.31,0.000059605
132000,6111.31,6111.31,0.000057688
133000,6111.31,6111.31,0.000059808
134000,6111.31,6111.31,0.000060288
135000,6111.31,6111.31,0.000059394
136000,6111.31,6111.31,0.000062019
137000,6111.31,6111.31,0.000060554
138000,6111.31,6111.31,0.000059116
139000,6111.31,6111.31,0.000062273
140000,6111.31,6111.31,0.00006067
141000,6111.31,6111.31,0.000059356
142000,6111.31,6111.31,0.000060597
143000,6111.31,6111.31,0.000059488
144000,6111.31,6111.31,0.000060763
145000,6111.31,6111.31,0.000061899
146000,6111.31,6111.31,0.000060495
147000,6111.31,6111.31,0.000061616
148000,6111.31,6111.31,0.000058151
149000,6111.31,6111.31,0.000067607
150000,6111.31,6111.31,0.000059113
151000,6111.31,6111.31,0.000059747
152000,6111.31,6111.31,0.000058947
153000,6111.31,6111.31,0.000060467
154000,6111.31,6111.31,0.000058906
155000,6111.31,6111.31,0.000059312
156000,6111.31,6111.31,0.000060171
157000,6111.31,6111.31,0.00006108
158000,6111.31,6111.31,0.000061493
159000,6111.31,6111.31,0.000061875
160000,6111.31,6111.31,0.000060483
161000,6111.31,6111.31,0.00005956
162000,6111.31,6111.31,0.000058674
163000,6111.31,6111.31,0.000061254
164000,6111.31,6111.32,0.000060174
165000,6111.32,6111.32,0.000059297
166000,6111.32,6111.32,0.000060491
167000,6111.32,6111.32,0.000058857
168000,6111.32,6111.32,0.000060688
169000,6111.32,6111.32,0.000058652
170000,6111.32,6111.32,0.000027533
171000,6111.32,6111.32,0.000058525
172000,6111.32,6111.32,0.00006077
173000,6111.32,6111.32,0.000058424
174000,6111.32,6111.32,0.000059356
175000,6111.32,6111.32,0.00005947
176000,6111.32,6111.32,0.000060537
177000,6111.32,6111.32,0.000058313
178000,6111.32,6111.32,0.000060076
179000,6111.32,6111.32,0.000061486
180000,6111.32,6111.32,0.000056538
181000,6111.32,6111.32,0.000047516
182000,6111.32,6111.32,0.000056481
183000,6111.32,6111.32,0.000058601
184000,6111.32,6111.32,0.000047733
185000,6111.32,6111.32,0.000060443
186000,6111.32,6111.32,0.000057866
187000,6111.32,6111.32,0.000061401
188000,6111.32,6111.32,0.000059
189000,6111.32,6111.32,0.000061163
190000,6111.32,6111.32,0.000058505
191000,6111.32,6111.32,0.000059155
192000,6111.32,6111.32,0.000034595
193000,6111.32,6111.32,0.000045073
194000,6111.32,6111.32,0.000059629
195000,6111.32,6111.32,0.000060986
196000,6111.32,6111.32,0.000059421
197000,6111.32,6111.32,0.000060374
198000,6111.32,6111.32,0.000060816
199000,6111.32,6111.32,0.000058139
200000,6111.32,6111.32,0.000060008
201000,6111.32,6111.32,0.00005994
202000,6111.32,6111.32,0.00005956
203000,6111.32,6111.32,0.0000599
204000,6111.32,6111.32,0.000060348
205000,6111.32,6111.32,0.000060217
206000,6111.32,6111.32,0.00006006
207000,6111.32,6111.32,0.000059957
208000,6111.32,6111.32,0.000058559
209000,6111.32,6111.32,0.000059084
210000,6111.32,6111.32,0.000059067
211000,6111.32,6111.32,0.000060558
212000,6111.32,6111.32,0.000057138
