bytes,time (ns)
945000,211629
946000,213835
947000,213822
948000,213291
949000,211246
950000,201395
951000,199699
952000,211118
953000,210315
954000,218635
955000,205046
956000,201999
957000,211011
958000,215735
959000,214018
960000,214792
961000,216635
962000,215473
963000,213510
964000,215776
965000,457721
966000,216016
967000,213135
968000,216208
969000,213051
970000,213776
971000,214504
972000,215067
973000,212968
974000,213262
975000,207975
976000,214406
977000,213229
978000,214341
979000,214929
980000,212836
981000,213961
982000,210561
983000,215389
984000,212288
985000,259565
986000,199578
987000,213237
988000,210512
989000,214284
990000,215496
991000,211463
992000,214813
993000,213759
994000,212215
995000,450040
996000,212076
997000,198441
998000,212096
999000,214100
1000000,212397
