bytes,time (ns)
664000,55521852
665000,56231624
666000,55355905
667000,56527535
668000,56957447
669000,56945753
670000,55869512
671000,56621257
672000,55677742
673000,56558301
674000,56573788
675000,56814656
676000,61653343
677000,57477586
678000,56729252
679000,59527141
680000,57269401
681000,57519759
682000,55574884
683000,60112424
684000,57722043
685000,58729340
686000,59285423
687000,59275579
688000,63213993
689000,57709450
690000,56415880
691000,59856635
692000,56787834
693000,59401114
694000,56955516
695000,64928840
696000,57670587
697000,58450104
698000,58199834
699000,54997674
700000,59128251
701000,55636289
702000,57896869
703000,59290812
704000,66858749
705000,60792247
706000,60985801
707000,60134946
708000,59364265
709000,57075183
710000,67278522
711000,60904038
712000,60424677
713000,59901514
714000,61434114
715000,60717240
716000,57293853
717000,62861327
718000,68219127
719000,67563548
720000,62327786
721000,62704709
722000,58212947
723000,64249774
724000,62175486
725000,67479085
726000,61350424
727000,61058303
728000,62533931
729000,60859953
730000,61570731
731000,59524865
732000,61236025
733000,68867635
734000,61964287
735000,62190821
736000,62359190
737000,64145577
738000,61626837
739000,64633671
740000,68042804
741000,60608244
742000,63571340
743000,59661322
744000,63538628
745000,65369863
746000,60598273
747000,69731045
748000,63137268
749000,59641473
750000,62964311
751000,62380883
752000,64869509
753000,64378761
754000,65753476
755000,64019040
756000,61430836
757000,63516160
758000,63660342
759000,64055036
760000,64647273
761000,64005649
762000,66446326
763000,62480251
764000,66886634
765000,65542556
766000,65805150
767000,65298413
768000,64141382
769000,60804943
770000,66012653
771000,64790007
772000,63181151
773000,64359907
774000,65879292
775000,64584560
776000,69702205
777000,75721771
778000,65059351
779000,63275225
780000,68686524
781000,61986835
782000,64679846
783000,68568844
784000,64969596
785000,63367425
786000,66083917
787000,66539464
788000,65143319
789000,64866708
790000,67275542
791000,71927038
792000,66051345
793000,68277606
794000,67299319
795000,62902306
796000,68112737
797000,66474722
798000,66491528
799000,62230056
800000,63840899
801000,74464848
802000,64310474
803000,73774198
804000,66403018
805000,72478788
806000,72515685
807000,65131724
808000,68634001
809000,67583128
810000,65132641
811000,68537176
812000,63596774
813000,69204905
814000,68799010
815000,68803642
816000,69454688
817000,64840679
818000,74646580
819000,68319374
820000,69792687
821000,70078527
822000,66643101
823000,73831618
824000,69738988
825000,67014950
826000,69985539
827000,68098215
828000,68575319
829000,71582438
830000,69244833
831000,74253006
832000,70348548
833000,70962871
834000,69373477
835000,71578761
836000,73837498
837000,69563730
838000,68090648
839000,69379943
840000,69974220
841000,66785639
842000,73297938
843000,71933147
844000,73127409
845000,68418652
846000,71493215
847000,70177426
848000,71294326
849000,77231639
850000,71712849
851000,69125872
852000,71052410
853000,73365142
854000,71523789
855000,73679526
856000,71728620
857000,71913050
858000,72990357
859000,68446188
860000,73128336
861000,78708417
862000,69564101
863000,72281333
864000,72606753
865000,71782991
866000,73472995
867000,77036056
868000,73246117
869000,78205802
870000,68162839
871000,83613511
872000,72991403
873000,79609925
874000,70955135
875000,69730334
876000,73075004
877000,79278895
878000,79027433
879000,74417776
880000,69910701
881000,79727283
882000,74704218
883000,73405381
884000,73803137
885000,78572250
886000,70348995
887000,73313620
888000,69691961
889000,73584038
890000,73750843
891000,70339859
892000,74137467
893000,73326749
894000,74436697
895000,73403409
896000,74532274
897000,71307915
898000,72623980
899000,75860062
900000,71483195
901000,72503287
902000,82057894
903000,75123759
904000,74187904
905000,84660906
906000,80440183
907000,73409235
908000,74391690
909000,74527252
910000,74390331
911000,73606446
912000,76740790
913000,73838093
914000,72038534
915000,74805493
916000,78336793
917000,76598710
918000,80814021
919000,76698900
920000,77643829
921000,77310988
922000,77792238
923000,75335316
924000,76573835
925000,79341685
926000,73259565
927000,82484015
928000,77072081
929000,77591892
930000,82429662
931000,77858466
932000,78834428
933000,81575072
934000,79108192
935000,77391097
936000,74553046
937000,74057282
938000,78151805
939000,76888666
940000,74399826
941000,77929183
942000,77585759
943000,77566745
944000,75408405
945000,76855581
946000,80117314
947000,77593221
948000,78057467
949000,74181750
950000,86435680
951000,79337330
952000,80507210
953000,84903037
954000,75746346
955000,77050422
956000,84086788
957000,76454727
958000,80405452
959000,75239182
960000,80280119
961000,76261213
962000,84351544
963000,81103782
964000,85535385
965000,81354084
966000,82258653
967000,88438934
968000,81498353
969000,79387209
970000,79011511
971000,84228430
972000,82583695
973000,82549767
974000,83081671
975000,89022488
976000,79762175
977000,81386458
978000,81170514
979000,88533125
980000,79584079
981000,81759872
982000,84401933
983000,81898282
984000,87535632
985000,81361048
986000,88409413
987000,82401301
988000,78499290
989000,78491870
990000,77843949
991000,81974440
992000,79175625
993000,89882010
994000,89084744
995000,82136734
996000,81957673
997000,83233153
998000,82077860
999000,80128068
1000000,83649983
